Project Name,Package Name,Architecture Smell,Cause of the Smell
jsoup,org.jsoup.parser,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.select.
jsoup,org.jsoup.parser,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup; org.jsoup.safety.
jsoup,org.jsoup.safety,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Cleaner; Safelist; CleanerTest; SafelistTest]; [Cleaner.CleaningVisitor]; [Cleaner.ElementMeta]; [Safelist.TagName]; [Safelist.AttributeKey]; [Safelist.AttributeValue]; [Safelist.Protocol]; [Safelist.TypedValue]. LCC (Lack of Component Cohesion) = 0.73
jsoup,org.jsoup.safety,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.helper.
jsoup,org.jsoup.safety,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.parser.
jsoup,org.jsoup.safety,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup; org.jsoup.nodes.
jsoup,org.jsoup.select,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 85
jsoup,org.jsoup.select,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsoup.parser
jsoup,org.jsoup.select,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Collector; Elements; Evaluator; Evaluator.Tag; Evaluator.TagStartsWith; Evaluator.TagEndsWith; Evaluator.Id; Evaluator.Class; Evaluator.Attribute; Evaluator.AttributeStarting; Evaluator.AttributeWithValueMatching; Evaluator.AttributeKeyPair; Evaluator.AllElements; Evaluator.IsLastChild; Evaluator.CssNthEvaluator; Evaluator.IsFirstChild; Evaluator.IsRoot; Evaluator.IsOnlyChild; Evaluator.IsOnlyOfType; Evaluator.IsEmpty; Evaluator.IndexEvaluator; Evaluator.ContainsText; Evaluator.ContainsWholeText; Evaluator.ContainsWholeOwnText; Evaluator.ContainsData; Evaluator.ContainsOwnText; Evaluator.Matches; Evaluator.MatchesOwn; Evaluator.MatchesWholeText; Evaluator.MatchesWholeOwnText; Evaluator.MatchText; NodeEvaluator; NodeEvaluator.InstanceType; NodeEvaluator.ContainsValue; NodeEvaluator.BlankValue; NodeEvaluator.MatchesValue; NodeFilter; Nodes; NodeTraversor; NodeVisitor; QueryParser; Selector; StructuralEvaluator; StructuralEvaluator.Root; StructuralEvaluator.Has; StructuralEvaluator.Is; StructuralEvaluator.Not; StructuralEvaluator.Ancestor; StructuralEvaluator.ImmediateParentRun; StructuralEvaluator.PreviousSibling; StructuralEvaluator.ImmediatePreviousSibling; CssTest; ElementsTest; EvaluatorDebug; EvaluatorDebug.SexprVisitor; EvaluatorTest; NodesTest; QueryParserTest; SelectorIT; SelectorTest; SelectorTest.ResetTracker; StructuralEvaluatorTest; TraversorTest; XpathTest; CombiningEvaluator; CombiningEvaluator.And; CombiningEvaluator.Or]; [Evaluator.AttributeWithValue]; [Evaluator.AttributeWithValueNot]; [Evaluator.AttributeWithValueStarting]; [Evaluator.AttributeWithValueEnding]; [Evaluator.AttributeWithValueContaining]; [Evaluator.IndexLessThan]; [Evaluator.IndexGreaterThan]; [Evaluator.IndexEquals]; [Evaluator.IsFirstOfType]; [Evaluator.IsLastOfType]; [Evaluator.IsNthChild]; [Evaluator.IsNthLastChild]; [Evaluator.IsNthOfType]; [Evaluator.IsNthLastOfType]; [NodeFilter.FilterResult]; [Selector.SelectorParseException]; [SelectorIT.ThreadCatcher]; [XpathTest.AlternateXpathFactory]. LCC (Lack of Component Cohesion) = 0.22
jsoup,org.jsoup.select,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.helper; org.jsoup.nodes.
jsoup,org.jsoup.select,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.helper; org.jsoup.parser.
jsoup,org.jsoup.select,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.helper; org.jsoup.parser; org.jsoup.internal.
jsoup,org.jsoup.select,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.parser; org.jsoup.nodes.
jsoup,org.jsoup.select,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.
jsoup,org.jsoup.select,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.parser; org.jsoup; org.jsoup.nodes.
jsoup,org.jsoup.integration,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsoup.safety
jsoup,org.jsoup.integration,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Benchmark]; [ConnectIT; TestServer; HttpClientConnectIT; ConnectTest; ParseTest; HttpClientConnectTest; FuzzFixesIT; FuzzFixesTest; ProxyTest; SessionIT; HttpClientSessionIT; SessionTest; HttpClientSessionTest]; [SafelistExtensionTest]; [SafelistExtensionTest.OpenSafelist]; [SessionIT.ThreadCatcher]; [TestServer.ServletUrls]; [TestServer.ProxySettings]. LCC (Lack of Component Cohesion) = 0.37
jsoup,org.jsoup.integration,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup; org.jsoup.nodes.
jsoup,org.jsoup.integration,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup; org.jsoup.parser.
jsoup,org.jsoup.integration,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.select.
jsoup,org.jsoup.integration,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.parser; org.jsoup; org.jsoup.nodes.
jsoup,org.jsoup.integration,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup; org.jsoup.select; org.jsoup.nodes.
jsoup,org.jsoup.integration,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsoup.integration; org.jsoup.integration.servlets; org.jsoup.integration
jsoup,org.jsoup.integration.servlets,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsoup.integration
